Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,# Sats Used,# Sats Provided,
18/02/2007,20:28:13:152,-54.139649,-38.321294,20,15.606162,0.12,-0.14,6,6,(rownum 387)
18/02/2007,20:59:10:752,-54.139551,-38.313896,20,8.520435,-0.89,-1.03,6,7,(rownum 390)
18/02/2007,21:32:04:992,-54.137531,-38.306959,20,8.305272,0.24,-0.79,7,7,(rownum 395)
18/02/2007,21:47:00:960,-54.136513,-38.302936,20,8.845591,0,-0.79,8,8,(rownum 396)
18/02/2007,22:04:09:120,-54.132765,-38.2965,20,18.376174,1.09,0.3,8,8,(rownum 399)
18/02/2007,22:36:26:208,-54.121993,-38.276751,20,20.898388,-0.71,-0.41,8,8,(rownum 402)
18/02/2007,22:52:07:104,-54.119862,-38.26608,20,13.39705,-0.22,-0.63,6,6,(rownum 404)
18/02/2007,23:26:00:960,-54.104287,-38.226114,20,6.628086,-0.24,-0.87,8,8,(rownum 410)
18/02/2007,23:56:57:696,-54.090354,-38.178178,20,21.060228,-0.22,-1.09,8,8,(rownum 412)
19/02/2007,00:27:23:328,-54.074952,-38.147925,20,11.482533,0.58,-0.51,8,8,(rownum 414)
19/02/2007,00:42:14:976,-54.068213,-38.133065,20,5.3051,-0.86,-1.37,8,8,(rownum 415)
19/02/2007,00:57:05:760,-54.0596,-38.118369,20,9.670789,0.06,-1.31,8,8,(rownum 416)
19/02/2007,01:12:00:0,-54.049138,-38.104867,20,17.010238,1.51,0.2,8,8,(rownum 417)
19/02/2007,01:27:27:72,-54.039903,-38.090625,20,15.978724,0,0.2,8,8,(rownum 418)
19/02/2007,01:45:02:16,-54.028986,-38.072812,20,22.815852,-0.72,-0.52,7,7,(rownum 422)
19/02/2007,02:01:30:432,-54.019922,-38.064186,20,0.909419,-0.6,-0.52,4,4,(rownum 423)
19/02/2007,02:17:00:96,-54.009942,-38.053083,20,13.026686,0.53,0.01,6,6,(rownum 425)
19/02/2007,02:32:00:384,-54.008477,-38.052125,20,24.775376,-0.98,-0.97,7,8,(rownum 426)
19/02/2007,02:46:59:808,-54.008172,-38.051268,20,11.471358,0.13,-0.84,8,8,(rownum 427)
19/02/2007,03:02:00:96,-54.008013,-38.051139,20,15.118308,0.21,-0.63,8,8,(rownum 428)
19/02/2007,03:17:00:384,-54.007745,-38.051469,20,25.166601,0.03,-0.6,8,8,(rownum 429)
19/02/2007,03:31:59:808,-54.00858,-38.051555,20,21.242083,-0.1,-0.7,8,8,(rownum 430)
19/02/2007,03:47:00:96,-54.007927,-38.05014,20,14.052391,0.18,-0.52,8,8,(rownum 431)
19/02/2007,04:02:00:384,-54.008304,-38.051115,20,15.986779,0.08,-0.44,8,8,(rownum 432)
19/02/2007,04:16:59:808,-54.007994,-38.051989,20,17.032336,-0.19,-0.63,8,8,(rownum 433)
19/02/2007,04:32:00:96,-54.008652,-38.04955,20,15.964719,0.3,-0.33,7,7,(rownum 434)
19/02/2007,04:47:00:384,-54.00829,-38.05138,20,14.370647,-0.05,-0.38,7,7,(rownum 435)
19/02/2007,05:01:59:808,-54.008177,-38.078539,20,1.453316,-3.2,-0.38,5,5,(rownum 436)
19/02/2007,05:17:00:96,-54.008377,-38.052259,20,8.097946,0.06,-0.38,5,5,(rownum 437)
19/02/2007,05:32:00:384,-54.007685,-38.051454,20,14.423826,0.04,-0.34,7,7,(rownum 438)
19/02/2007,05:46:59:808,-54.007928,-38.05126,20,9.897065,-1.03,-0.34,5,5,(rownum 439)
19/02/2007,06:02:00:96,-54.008585,-38.051252,20,23.90244,0.04,-0.3,7,7,(rownum 440)
19/02/2007,06:17:00:384,-54.007817,-38.051211,20,15.697325,0.05,-0.25,7,7,(rownum 441)
19/02/2007,06:31:59:808,-54.007768,-38.050739,20,14.875003,-0.99,-1.24,7,7,(rownum 442)
19/02/2007,06:47:00:96,-54.008192,-38.050936,20,8.924789,1.02,-0.22,6,6,(rownum 443)
19/02/2007,07:02:00:384,-54.007751,-38.051149,20,5.849658,-0.91,-1.13,6,6,(rownum 444)
19/02/2007,07:16:59:808,-54.008375,-38.050492,20,6.339686,0,-1.13,7,7,(rownum 445)
19/02/2007,07:32:00:96,-54.00807,-38.052189,20,6.861909,1.06,-0.07,6,6,(rownum 446)
19/02/2007,07:47:00:384,-54.007575,-38.051316,20,0.241707,-0.91,-0.07,4,4,(rownum 447)
19/02/2007,08:01:59:808,-54.008375,-38.050805,20,12.387144,-0.72,-0.07,5,5,(rownum 448)
19/02/2007,08:17:00:96,-54.007727,-38.050164,20,0.919334,-0.64,-0.07,4,4,(rownum 449)
19/02/2007,08:32:00:384,-54.007802,-38.051309,20,20.072507,-0.64,-0.71,7,7,(rownum 450)
19/02/2007,08:46:59:808,-54.00778,-38.053037,20,1.787524,-0.07,-0.71,4,4,(rownum 451)
19/02/2007,09:02:00:96,-54.007732,-38.050682,20,17.609277,0.04,-0.67,8,8,(rownum 452)
19/02/2007,09:17:00:384,-54.007799,-38.051072,20,13.529957,0.05,-0.62,7,7,(rownum 453)
19/02/2007,09:31:59:808,-54.007728,-38.051381,20,24.108706,-1.06,-1.68,8,8,(rownum 454)
19/02/2007,09:47:00:96,-54.007919,-38.050533,20,26.419285,1.11,-0.57,8,8,(rownum 455)
19/02/2007,10:02:00:384,-54.00806,-38.051213,20,12.663852,0.19,-0.38,8,8,(rownum 456)
19/02/2007,10:16:59:808,-54.008126,-38.050961,20,12.318658,-1.03,-1.41,7,7,(rownum 457)
19/02/2007,10:32:00:96,-54.007546,-38.051066,20,9.774337,0.99,-0.42,6,6,(rownum 458)
19/02/2007,10:47:00:384,-54.008606,-38.05083,20,20.266334,-0.79,-1.21,7,7,(rownum 459)
19/02/2007,11:01:59:808,-54.007938,-38.050795,20,4.053469,-0.12,-1.33,6,6,(rownum 460)
19/02/2007,11:17:00:96,-54.007342,-38.05151,20,11.633614,1.08,-1.33,5,5,(rownum 461)
19/02/2007,11:32:00:384,-54.007747,-38.051413,20,12.00568,0.11,-1.22,8,8,(rownum 462)
19/02/2007,11:46:59:808,-54.007834,-38.051305,20,13.036091,0.08,-1.14,8,8,(rownum 463)
19/02/2007,12:02:00:96,-54.00831,-38.050521,20,13.710151,0.31,-0.83,6,6,(rownum 464)
19/02/2007,12:31:59:808,-54.007606,-38.051005,20,4.211004,-0.06,-0.89,7,7,(rownum 466)
19/02/2007,12:47:00:96,-54.00792,-38.050942,20,20.444645,0.12,-0.77,8,8,(rownum 467)
19/02/2007,13:02:00:384,-54.007874,-38.05117,20,24.934693,0.07,-0.7,6,6,(rownum 468)
19/02/2007,13:16:59:808,-54.007761,-38.050386,20,18.390793,-1.03,-1.73,8,8,(rownum 469)
19/02/2007,13:32:00:96,-54.007712,-38.051323,20,21.787824,1.09,-0.64,8,8,(rownum 470)
